Input,Result,Assignment
cnf_857.cnf,UNSAT,
cnf_858.cnf,UNSAT,
cnf_859.cnf,UNSAT,
cnf_86.cnf,UNSAT,
cnf_860.cnf,UNSAT,
cnf_861.cnf,UNSAT,
cnf_862.cnf,UNSAT,
cnf_863.cnf,SAT,
cnf_864.cnf,UNSAT,
cnf_865.cnf,UNSAT,
cnf_866.cnf,SAT,
cnf_867.cnf,SAT,
cnf_868.cnf,UNSAT,
cnf_869.cnf,UNSAT,
cnf_87.cnf,UNSAT,
cnf_870.cnf,UNSAT,
cnf_871.cnf,UNSAT,
cnf_872.cnf,UNSAT,
cnf_873.cnf,SAT,
cnf_874.cnf,UNSAT,
cnf_875.cnf,UNSAT,
cnf_876.cnf,UNSAT,
cnf_877.cnf,UNSAT,
cnf_878.cnf,UNSAT,
cnf_879.cnf,UNSAT,
cnf_88.cnf,UNSAT,
cnf_880.cnf,UNSAT,
cnf_881.cnf,SAT,
cnf_882.cnf,UNSAT,
cnf_883.cnf,UNSAT,
cnf_884.cnf,UNSAT,
cnf_885.cnf,UNSAT,
cnf_886.cnf,UNSAT,
cnf_887.cnf,UNSAT,
cnf_888.cnf,UNSAT,
cnf_889.cnf,UNSAT,
cnf_89.cnf,UNSAT,
cnf_890.cnf,UNSAT,
cnf_891.cnf,UNSAT,
cnf_892.cnf,SAT,
cnf_893.cnf,UNSAT,
cnf_894.cnf,SAT,
cnf_895.cnf,UNSAT,
cnf_896.cnf,UNSAT,
cnf_897.cnf,UNSAT,
cnf_898.cnf,UNSAT,
cnf_899.cnf,UNSAT,
cnf_9.cnf,SAT,
cnf_90.cnf,SAT,
cnf_900.cnf,SAT,
cnf_901.cnf,UNSAT,
cnf_902.cnf,UNSAT,
cnf_903.cnf,UNSAT,
cnf_904.cnf,UNSAT,
cnf_905.cnf,UNSAT,
cnf_906.cnf,UNSAT,
cnf_907.cnf,UNSAT,
cnf_908.cnf,SAT,
cnf_909.cnf,UNSAT,
cnf_91.cnf,UNSAT,
cnf_910.cnf,UNSAT,
cnf_911.cnf,SAT,
cnf_912.cnf,UNSAT,
cnf_913.cnf,UNSAT,
cnf_914.cnf,UNSAT,
cnf_915.cnf,UNSAT,
cnf_916.cnf,UNSAT,
cnf_917.cnf,UNSAT,
cnf_918.cnf,SAT,
cnf_919.cnf,SAT,
cnf_92.cnf,SAT,
cnf_920.cnf,UNSAT,
cnf_921.cnf,UNSAT,
cnf_922.cnf,UNSAT,
cnf_923.cnf,SAT,
cnf_924.cnf,UNSAT,
cnf_925.cnf,UNSAT,
cnf_926.cnf,UNSAT,
cnf_927.cnf,UNSAT,
cnf_928.cnf,UNSAT,
cnf_929.cnf,UNSAT,
cnf_93.cnf,UNSAT,
cnf_930.cnf,UNSAT,
cnf_931.cnf,UNSAT,
cnf_932.cnf,UNSAT,
cnf_933.cnf,SAT,
cnf_934.cnf,UNSAT,
cnf_935.cnf,UNSAT,
cnf_936.cnf,UNSAT,
cnf_937.cnf,SAT,
cnf_938.cnf,UNSAT,
cnf_939.cnf,UNSAT,
cnf_94.cnf,UNSAT,
cnf_940.cnf,UNSAT,
cnf_941.cnf,UNSAT,
cnf_942.cnf,UNSAT,
cnf_943.cnf,UNSAT,
cnf_944.cnf,UNSAT,
cnf_945.cnf,SAT,
cnf_946.cnf,SAT,
cnf_947.cnf,UNSAT,
cnf_948.cnf,UNSAT,
cnf_949.cnf,SAT,
cnf_95.cnf,UNSAT,
cnf_950.cnf,UNSAT,
cnf_951.cnf,UNSAT,
cnf_952.cnf,SAT,
cnf_953.cnf,SAT,
cnf_954.cnf,UNSAT,
cnf_955.cnf,UNSAT,
cnf_956.cnf,UNSAT,
cnf_957.cnf,UNSAT,
cnf_958.cnf,UNSAT,
cnf_959.cnf,UNSAT,
cnf_96.cnf,UNSAT,
cnf_960.cnf,SAT,
cnf_961.cnf,UNSAT,
cnf_962.cnf,UNSAT,
cnf_963.cnf,UNSAT,
cnf_964.cnf,SAT,
cnf_965.cnf,UNSAT,
cnf_966.cnf,UNSAT,
cnf_967.cnf,SAT,
cnf_968.cnf,SAT,
cnf_969.cnf,UNSAT,
cnf_97.cnf,SAT,
cnf_970.cnf,UNSAT,
cnf_971.cnf,UNSAT,
cnf_972.cnf,SAT,
cnf_973.cnf,UNSAT,
cnf_974.cnf,UNSAT,
cnf_975.cnf,UNSAT,
cnf_976.cnf,UNSAT,
cnf_977.cnf,UNSAT,
cnf_978.cnf,UNSAT,
cnf_979.cnf,UNSAT,
cnf_98.cnf,UNSAT,
cnf_980.cnf,SAT,
cnf_981.cnf,UNSAT,
cnf_982.cnf,UNSAT,
cnf_983.cnf,SAT,
cnf_984.cnf,UNSAT,
cnf_985.cnf,UNSAT,
cnf_986.cnf,SAT,
cnf_987.cnf,SAT,
cnf_988.cnf,UNSAT,
cnf_989.cnf,UNSAT,
cnf_99.cnf,UNSAT,
cnf_990.cnf,SAT,
cnf_991.cnf,SAT,
cnf_992.cnf,UNSAT,
cnf_993.cnf,UNSAT,
cnf_994.cnf,UNSAT,
cnf_995.cnf,UNSAT,
cnf_996.cnf,UNSAT,
cnf_997.cnf,UNSAT,
cnf_998.cnf,UNSAT,
cnf_999.cnf,UNSAT,
