Input,Result,Assignment
cnf_271.cnf,UNSAT,
cnf_272.cnf,UNSAT,
cnf_273.cnf,UNSAT,
cnf_274.cnf,UNSAT,
cnf_275.cnf,UNSAT,
cnf_276.cnf,UNSAT,
cnf_277.cnf,UNSAT,
cnf_278.cnf,UNSAT,
cnf_279.cnf,UNSAT,
cnf_28.cnf,UNSAT,
cnf_280.cnf,UNSAT,
cnf_281.cnf,UNSAT,
cnf_282.cnf,SAT,
cnf_283.cnf,UNSAT,
cnf_284.cnf,UNSAT,
cnf_285.cnf,SAT,
cnf_286.cnf,UNSAT,
cnf_287.cnf,UNSAT,
cnf_288.cnf,UNSAT,
cnf_289.cnf,SAT,
cnf_29.cnf,UNSAT,
cnf_290.cnf,UNSAT,
cnf_291.cnf,UNSAT,
cnf_292.cnf,SAT,
cnf_293.cnf,UNSAT,
cnf_294.cnf,UNSAT,
cnf_295.cnf,SAT,
cnf_296.cnf,SAT,
cnf_297.cnf,UNSAT,
cnf_298.cnf,UNSAT,
cnf_299.cnf,SAT,
cnf_3.cnf,UNSAT,
cnf_30.cnf,SAT,
cnf_300.cnf,UNSAT,
cnf_301.cnf,SAT,
cnf_302.cnf,UNSAT,
cnf_303.cnf,UNSAT,
cnf_304.cnf,SAT,
cnf_305.cnf,UNSAT,
cnf_306.cnf,SAT,
cnf_307.cnf,UNSAT,
cnf_308.cnf,UNSAT,
cnf_309.cnf,UNSAT,
cnf_31.cnf,UNSAT,
cnf_310.cnf,SAT,
cnf_311.cnf,UNSAT,
cnf_312.cnf,UNSAT,
cnf_313.cnf,UNSAT,
cnf_314.cnf,SAT,
cnf_315.cnf,SAT,
cnf_316.cnf,UNSAT,
cnf_317.cnf,SAT,
cnf_318.cnf,UNSAT,
cnf_319.cnf,UNSAT,
cnf_32.cnf,SAT,
cnf_320.cnf,UNSAT,
cnf_321.cnf,UNSAT,
cnf_322.cnf,SAT,
cnf_323.cnf,UNSAT,
cnf_324.cnf,UNSAT,
cnf_325.cnf,UNSAT,
cnf_326.cnf,UNSAT,
cnf_327.cnf,UNSAT,
cnf_328.cnf,UNSAT,
cnf_329.cnf,SAT,
cnf_33.cnf,UNSAT,
cnf_330.cnf,UNSAT,
cnf_331.cnf,UNSAT,
cnf_332.cnf,UNSAT,
cnf_333.cnf,SAT,
cnf_334.cnf,UNSAT,
cnf_335.cnf,UNSAT,
cnf_336.cnf,UNSAT,
cnf_337.cnf,SAT,
cnf_338.cnf,UNSAT,
cnf_339.cnf,UNSAT,
cnf_34.cnf,UNSAT,
cnf_340.cnf,UNSAT,
cnf_341.cnf,SAT,
cnf_342.cnf,UNSAT,
cnf_343.cnf,UNSAT,
cnf_344.cnf,SAT,
cnf_345.cnf,UNSAT,
cnf_346.cnf,UNSAT,
cnf_347.cnf,UNSAT,
cnf_348.cnf,UNSAT,
cnf_349.cnf,UNSAT,
cnf_35.cnf,UNSAT,
cnf_350.cnf,UNSAT,
cnf_351.cnf,UNSAT,
cnf_352.cnf,UNSAT,
cnf_353.cnf,UNSAT,
cnf_354.cnf,UNSAT,
cnf_355.cnf,UNSAT,
cnf_356.cnf,UNSAT,
cnf_357.cnf,UNSAT,
cnf_358.cnf,UNSAT,
cnf_359.cnf,SAT,
cnf_36.cnf,UNSAT,
cnf_360.cnf,UNSAT,
cnf_361.cnf,UNSAT,
cnf_362.cnf,SAT,
cnf_363.cnf,SAT,
cnf_364.cnf,SAT,
cnf_365.cnf,UNSAT,
cnf_366.cnf,UNSAT,
cnf_367.cnf,UNSAT,
cnf_368.cnf,UNSAT,
cnf_369.cnf,UNSAT,
cnf_37.cnf,UNSAT,
cnf_370.cnf,SAT,
cnf_371.cnf,SAT,
cnf_372.cnf,UNSAT,
cnf_373.cnf,UNSAT,
cnf_374.cnf,SAT,
cnf_375.cnf,UNSAT,
cnf_376.cnf,UNSAT,
cnf_377.cnf,UNSAT,
cnf_378.cnf,UNSAT,
cnf_379.cnf,UNSAT,
cnf_38.cnf,UNSAT,
cnf_380.cnf,UNSAT,
cnf_381.cnf,UNSAT,
cnf_382.cnf,SAT,
cnf_383.cnf,SAT,
cnf_384.cnf,SAT,
cnf_385.cnf,UNSAT,
cnf_386.cnf,UNSAT,
cnf_387.cnf,UNSAT,
cnf_388.cnf,UNSAT,
cnf_389.cnf,UNSAT,
cnf_39.cnf,UNSAT,
cnf_390.cnf,SAT,
cnf_391.cnf,UNSAT,
cnf_392.cnf,UNSAT,
cnf_393.cnf,UNSAT,
cnf_394.cnf,UNSAT,
cnf_395.cnf,UNSAT,
cnf_396.cnf,UNSAT,
cnf_397.cnf,UNSAT,
cnf_398.cnf,UNSAT,
cnf_399.cnf,SAT,
cnf_4.cnf,UNSAT,
cnf_40.cnf,SAT,
cnf_400.cnf,SAT,
cnf_401.cnf,UNSAT,
cnf_402.cnf,UNSAT,
cnf_403.cnf,UNSAT,
cnf_404.cnf,UNSAT,
cnf_405.cnf,SAT,
cnf_406.cnf,UNSAT,
cnf_407.cnf,UNSAT,
cnf_408.cnf,UNSAT,
cnf_409.cnf,UNSAT,
cnf_41.cnf,SAT,
cnf_410.cnf,UNSAT,
cnf_411.cnf,UNSAT,
cnf_412.cnf,UNSAT,
cnf_413.cnf,UNSAT,
cnf_414.cnf,UNSAT,
cnf_415.cnf,SAT,
cnf_416.cnf,UNSAT,
cnf_417.cnf,UNSAT,
cnf_418.cnf,UNSAT,
cnf_419.cnf,UNSAT,
cnf_42.cnf,SAT,
cnf_420.cnf,UNSAT,
cnf_421.cnf,UNSAT,
cnf_422.cnf,UNSAT,
cnf_423.cnf,SAT,
cnf_424.cnf,UNSAT,
cnf_425.cnf,UNSAT,
cnf_426.cnf,UNSAT,
cnf_427.cnf,UNSAT,
cnf_428.cnf,UNSAT,
cnf_429.cnf,UNSAT,
cnf_43.cnf,UNSAT,
cnf_430.cnf,UNSAT,
cnf_431.cnf,SAT,
cnf_432.cnf,UNSAT,
cnf_433.cnf,UNSAT,
