filename,result_cadical,result_crypmin,result_hCaD,result_kissat_mab_dc,result_kissat_mab_esa,result_kissat_sc2024,result_lingeling,result_picosat,mismatch
3sat_147.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_148.cnf,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,no
3sat_149.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_15.cnf,unsolve,unsolve,unsolve,unsolve,unsolve,unsolve,unsolve,unsolve,no
3sat_150.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_151.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_152.cnf,unsolve,unsolve,unsolve,unsolve,unsolve,unsolve,unsolve,unsolve,no
3sat_153.cnf,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,no
3sat_154.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_155.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_156.cnf,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,no
3sat_157.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_158.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_159.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_16.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_160.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_161.cnf,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,no
3sat_162.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_163.cnf,unsolve,unsolve,unsolve,unsolve,unsolve,unsolve,unsolve,unsolve,no
3sat_164.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_165.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_166.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_167.cnf,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,no
3sat_168.cnf,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,no
3sat_169.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_17.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_170.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_171.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_172.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_173.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_174.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_175.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_176.cnf,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,unsatisfiable,no
3sat_177.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_178.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_179.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_18.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
3sat_180.cnf,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,satisfiable,no
